Code,Year,Fertility rate,Population,Life expectancy
afg,1960,7.282,9035043,45.03
afg,1961,7.284,9214083,45.28
afg,1962,7.292,9404406,45.51
afg,1963,7.302,9604487,45.69
afg,1964,7.304,9814318,45.91
afg,1965,7.305,10036008,46.13
afg,1966,7.32,10266395,46.3
afg,1967,7.339,10505959,46.48
afg,1968,7.363,10756922,46.68
afg,1969,7.389,11017409,46.87
afg,1970,7.4,11290128,47.08
afg,1971,7.432,11567667,47.26
afg,1972,7.453,11853696,47.27
afg,1973,7.487,12157999,47.33
afg,1974,7.526,12469127,47.41
afg,1975,7.542,12773954,47.55
afg,1976,7.561,13059851,47.72
afg,1977,7.591,13340756,47.87
afg,1978,7.599,13611441,46.42
afg,1979,7.612,13655567,44.68
afg,1980,7.643,13169311,43.68
afg,1981,7.617,11937581,44.34
afg,1982,7.6,10991378,44.06
afg,1983,7.57,10917982,42.27
afg,1984,7.554,11190221,39.9
afg,1985,7.55,11426852,42.03
afg,1986,7.553,11420074,43.27
afg,1987,7.548,11387818,45.88
afg,1988,7.551,11523298,48.51
afg,1989,7.559,11874088,52.73
afg,1990,7.576,12045660,53.83
afg,1991,7.631,12238879,53.76
afg,1992,7.703,13278974,54.24
afg,1993,7.761,14943172,54.4
afg,1994,7.767,16250794,53.89
afg,1995,7.767,17065836,54.33
afg,1996,7.757,17763266,54.69
afg,1997,7.732,18452091,54.46
afg,1998,7.693,19159996,53.34
afg,1999,7.641,19887785,54.73
afg,2000,7.566,20130327,54.73
afg,2001,7.453,20284307,54.83
afg,2002,7.32,21378117,55.54
afg,2003,7.174,22733049,56.5
afg,2004,7.018,23560654,57.14
afg,2005,6.858,24404567,57.63
afg,2006,6.686,25424094,58
afg,2007,6.508,25909852,58.5
afg,2008,6.392,26482622,59.18
afg,2009,6.295,27466101,59.9
afg,2010,6.195,28284089,60.46
afg,2011,6.094,29347708,61.02
afg,2012,5.985,30560034,61.43
afg,2013,5.879,31622704,61.93
afg,2014,5.77,32792523,61.93
afg,2015,5.652,33831764,61.91
afg,2016,5.542,34700612,62.03
afg,2017,5.433,35688935,62.9
afg,2018,5.327,36743039,62.73
afg,2019,5.238,37856121,63.33
afg,2020,5.145,39068979,62.34
afg,2021,5.039,40000412,61.75
afg,2022,4.932,40578842,62.64
afg,2023,4.84,41454761,63.99
ago,1960,6.708,5231654,46.25
ago,1961,6.79,5301583,44.81
ago,1962,6.872,5354310,44.99
ago,1963,6.954,5408320,45.17
ago,1964,7.036,5464187,45.37
ago,1965,7.116,5521981,45.58
ago,1966,7.194,5581386,45.78
ago,1967,7.267,5641807,45.98
ago,1968,7.332,5702699,46.19
ago,1969,7.388,5763685,46.39
ago,1970,7.434,5852788,46.57
ago,1971,7.467,5991102,46.79
ago,1972,7.488,6174262,46.95
ago,1973,7.498,6388528,47.16
ago,1974,7.5,6613367,47.36
ago,1975,7.494,6842947,47.46
ago,1976,7.485,7074664,47.54
ago,1977,7.475,7317829,47.66
ago,1978,7.467,7576734,47.82
ago,1979,7.461,7847207,47.97
ago,1980,7.459,8133872,48.13
ago,1981,7.459,8435607,48.21
ago,1982,7.461,8751648,48.24
ago,1983,7.462,9082983,48.22
ago,1984,7.459,9425917,48.38
ago,1985,7.451,9779120,48.56
ago,1986,7.435,10139450,48.56
ago,1987,7.409,10497858,48.65
ago,1988,7.373,10861291,48.59
ago,1989,7.328,11238562,49.37
ago,1990,7.272,11626360,49.67
ago,1991,7.208,12023529,50.31
ago,1992,7.138,12423712,50.34
ago,1993,7.065,12827135,48.98
ago,1994,6.99,13249764,50.33
ago,1995,6.918,13699778,51.16
ago,1996,6.851,14170973,51.66
ago,1997,6.789,14660413,51.65
ago,1998,6.732,15159370,50.62
ago,1999,6.683,15667235,51.92
ago,2000,6.639,16194869,52.78
ago,2001,6.601,16747208,53.44
ago,2002,6.567,17327699,54.48
ago,2003,6.533,17943712,55.09
ago,2004,6.499,18600423,55.53
ago,2005,6.461,19291161,56.35
ago,2006,6.419,20015279,56.96
ago,2007,6.372,20778561,57.95
ago,2008,6.32,21578655,58.76
ago,2009,6.26,22414773,59.49
ago,2010,6.194,23294825,60.21
ago,2011,6.12,24218352,60.84
ago,2012,6.039,25177394,61.44
ago,2013,5.953,26165620,62.13
ago,2014,5.864,27160769,63.01
ago,2015,5.774,28157798,63.52
ago,2016,5.686,29183070,63.87
ago,2017,5.6,30234839,64.24
ago,2018,5.519,31297155,64.63
ago,2019,5.442,32375632,65.08
ago,2020,5.371,33451132,64.88
ago,2021,5.304,34532429,64.24
ago,2022,5.209,35635029,64.53
ago,2023,5.124,36749906,65.9
alb,1960,6.383,1649387,62.55
alb,1961,6.273,1698791,63.28
alb,1962,6.106,1743733,63.32
alb,1963,5.927,1791285,63.78
alb,1964,5.714,1841441,64.37
alb,1965,5.474,1894312,64.79
alb,1966,5.325,1950044,65.55
alb,1967,5.31,2008521,66.07
alb,1968,5.317,2068841,66.55
alb,1969,5.287,2126875,67.1
alb,1970,5.158,2181220,67.79
alb,1971,5.083,2234992,68.34
alb,1972,4.979,2289265,68.84
alb,1973,4.829,2344105,69.31
alb,1974,4.7,2399401,69.75
alb,1975,4.566,2454859,70.19
alb,1976,4.374,2510580,70.66
alb,1977,4.204,2566599,71.13
alb,1978,3.996,2624621,71.7
alb,1979,3.782,2681385,71.35
alb,1980,3.59,2735416,71.25
alb,1981,3.468,2790413,71.32
alb,1982,3.416,2846907,71.41
alb,1983,3.319,2905130,71.23
alb,1984,3.282,2964958,71.41
alb,1985,3.214,3026242,71.89
alb,1986,3.141,3087652,72.27
alb,1987,3.106,3148838,72.21
alb,1988,3.069,3212919,72.38
alb,1989,3.03,3260374,72.47
alb,1990,3.014,3277966,72.76
alb,1991,2.956,3282602,72.64
alb,1992,2.885,3282501,73.23
alb,1993,2.811,3277825,73.83
alb,1994,2.798,3269410,74.59
alb,1995,2.762,3258567,74.61
alb,1996,2.666,3245678,74.55
alb,1997,2.535,3229660,72.91
alb,1998,2.425,3210133,74.83
alb,1999,2.313,3188595,75.07
alb,2000,2.217,3166148,75.39
alb,2001,2.141,3147943,76.02
alb,2002,2.002,3134092,75.93
alb,2003,2.006,3118088,75.62
alb,2004,1.889,3098657,75.77
alb,2005,1.787,3076159,76.2
alb,2006,1.686,3050809,76.9
alb,2007,1.633,3022887,77.5
alb,2008,1.616,2992930,77.57
alb,2009,1.638,2961479,77.97
alb,2010,1.653,2928722,78.13
alb,2011,1.677,2911504,78.13
alb,2012,1.719,2910004,78.22
alb,2013,1.741,2907573,78.28
alb,2014,1.721,2903749,78.21
alb,2015,1.631,2898632,78.14
alb,2016,1.555,2897867,78.23
alb,2017,1.486,2898242,78.33
alb,2018,1.415,2894231,78.44
alb,2019,1.395,2885010,78.5
alb,2020,1.371,2871954,76.23
alb,2021,1.365,2849635,75.71
alb,2022,1.355,2827608,76.07
alb,2023,1.348,2811655,77.29
and,1960,2.545,9510,75.74
and,1961,2.543,10283,75.83
and,1962,2.548,11086,75.94
and,1963,2.602,11915,76.04
and,1964,2.689,12764,76.18
and,1965,2.715,13634,76.3
and,1966,2.759,14626,76.41
and,1967,2.78,15837,76.55
and,1968,2.77,17176,76.67
and,1969,2.769,18555,76.83
and,1970,2.787,19977,76.97
and,1971,2.832,21442,77.08
and,1972,2.905,22957,77.22
and,1973,2.826,24523,77.37
and,1974,2.735,26130,77.55
and,1975,2.458,27773,77.7
and,1976,2.207,29436,77.82
