Species,Id,Measurement,Value
setosa,1,Petal.Length,1.4
setosa,1,Petal.Width,0.2
setosa,1,Sepal.Length,5.1
setosa,1,Sepal.Width,3.5
setosa,2,Petal.Length,1.4
setosa,2,Petal.Width,0.2
setosa,2,Sepal.Length,4.9
setosa,2,Sepal.Width,3
setosa,3,Petal.Length,1.3
setosa,3,Petal.Width,0.2
setosa,3,Sepal.Length,4.7
setosa,3,Sepal.Width,3.2
setosa,4,Petal.Length,1.5
setosa,4,Petal.Width,0.2
setosa,4,Sepal.Length,4.6
setosa,4,Sepal.Width,3.1
setosa,5,Petal.Length,1.4
setosa,5,Petal.Width,0.2
setosa,5,Sepal.Length,5
setosa,5,Sepal.Width,3.6
setosa,6,Petal.Length,1.7
setosa,6,Petal.Width,0.4
setosa,6,Sepal.Length,5.4
setosa,6,Sepal.Width,3.9
setosa,7,Petal.Length,1.4
setosa,7,Petal.Width,0.3
setosa,7,Sepal.Length,4.6
setosa,7,Sepal.Width,3.4
setosa,8,Petal.Length,1.5
setosa,8,Petal.Width,0.2
setosa,8,Sepal.Length,5
setosa,8,Sepal.Width,3.4
setosa,9,Petal.Length,1.4
setosa,9,Petal.Width,0.2
setosa,9,Sepal.Length,4.4
setosa,9,Sepal.Width,2.9
setosa,10,Petal.Length,1.5
setosa,10,Petal.Width,0.1
setosa,10,Sepal.Length,4.9
setosa,10,Sepal.Width,3.1
setosa,11,Petal.Length,1.5
setosa,11,Petal.Width,0.2
setosa,11,Sepal.Length,5.4
setosa,11,Sepal.Width,3.7
setosa,12,Petal.Length,1.6
setosa,12,Petal.Width,0.2
setosa,12,Sepal.Length,4.8
setosa,12,Sepal.Width,3.4
setosa,13,Petal.Length,1.4
setosa,13,Petal.Width,0.1
setosa,13,Sepal.Length,4.8
setosa,13,Sepal.Width,3
setosa,14,Petal.Length,1.1
setosa,14,Petal.Width,0.1
setosa,14,Sepal.Length,4.3
setosa,14,Sepal.Width,3
setosa,15,Petal.Length,1.2
setosa,15,Petal.Width,0.2
setosa,15,Sepal.Length,5.8
setosa,15,Sepal.Width,4
setosa,16,Petal.Length,1.5
setosa,16,Petal.Width,0.4
setosa,16,Sepal.Length,5.7
setosa,16,Sepal.Width,4.4
setosa,17,Petal.Length,1.3
setosa,17,Petal.Width,0.4
setosa,17,Sepal.Length,5.4
setosa,17,Sepal.Width,3.9
setosa,18,Petal.Length,1.4
setosa,18,Petal.Width,0.3
setosa,18,Sepal.Length,5.1
setosa,18,Sepal.Width,3.5
setosa,19,Petal.Length,1.7
setosa,19,Petal.Width,0.3
setosa,19,Sepal.Length,5.7
setosa,19,Sepal.Width,3.8
setosa,20,Petal.Length,1.5
setosa,20,Petal.Width,0.3
setosa,20,Sepal.Length,5.1
setosa,20,Sepal.Width,3.8
setosa,21,Petal.Length,1.7
setosa,21,Petal.Width,0.2
setosa,21,Sepal.Length,5.4
setosa,21,Sepal.Width,3.4
setosa,22,Petal.Length,1.5
setosa,22,Petal.Width,0.4
setosa,22,Sepal.Length,5.1
setosa,22,Sepal.Width,3.7
setosa,23,Petal.Length,1
setosa,23,Petal.Width,0.2
setosa,23,Sepal.Length,4.6
setosa,23,Sepal.Width,3.6
setosa,24,Petal.Length,1.7
setosa,24,Petal.Width,0.5
setosa,24,Sepal.Length,5.1
setosa,24,Sepal.Width,3.3
setosa,25,Petal.Length,1.9
setosa,25,Petal.Width,0.2
setosa,25,Sepal.Length,4.8
setosa,25,Sepal.Width,3.4
setosa,26,Petal.Length,1.6
setosa,26,Petal.Width,0.2
setosa,26,Sepal.Length,5
setosa,26,Sepal.Width,3
setosa,27,Petal.Length,1.6
setosa,27,Petal.Width,0.4
setosa,27,Sepal.Length,5
setosa,27,Sepal.Width,3.4
setosa,28,Petal.Length,1.5
setosa,28,Petal.Width,0.2
setosa,28,Sepal.Length,5.2
setosa,28,Sepal.Width,3.5
setosa,29,Petal.Length,1.4
setosa,29,Petal.Width,0.2
setosa,29,Sepal.Length,5.2
setosa,29,Sepal.Width,3.4
setosa,30,Petal.Length,1.6
setosa,30,Petal.Width,0.2
setosa,30,Sepal.Length,4.7
setosa,30,Sepal.Width,3.2
setosa,31,Petal.Length,1.6
setosa,31,Petal.Width,0.2
setosa,31,Sepal.Length,4.8
setosa,31,Sepal.Width,3.1
setosa,32,Petal.Length,1.5
setosa,32,Petal.Width,0.4
setosa,32,Sepal.Length,5.4
setosa,32,Sepal.Width,3.4
setosa,33,Petal.Length,1.5
setosa,33,Petal.Width,0.1
setosa,33,Sepal.Length,5.2
setosa,33,Sepal.Width,4.1
setosa,34,Petal.Length,1.4
setosa,34,Petal.Width,0.2
setosa,34,Sepal.Length,5.5
setosa,34,Sepal.Width,4.2
setosa,35,Petal.Length,1.5
setosa,35,Petal.Width,0.2
