date,pollster,n,party,value
2025-01-03,GMS,1010,CDUCSU,0.33
2025-01-03,GMS,1010,AfD,0.18
2025-01-04,INSA,1201,CDUCSU,0.31
2025-01-04,INSA,1201,AfD,0.2
2025-01-06,INSA,2001,CDUCSU,0.31
2025-01-06,INSA,2001,AfD,0.215
2025-01-07,Forsa,1501,CDUCSU,0.32
2025-01-07,Forsa,1501,AfD,0.19
2025-01-08,YouGov,1908,CDUCSU,0.29
2025-01-08,YouGov,1908,AfD,0.21
2025-01-09,Infratest dimap,1323,CDUCSU,0.31
2025-01-09,Infratest dimap,1323,AfD,0.2
2025-01-10,Forschungsgruppe Wahlen,1433,CDUCSU,0.3
2025-01-10,Forschungsgruppe Wahlen,1433,AfD,0.21
2025-01-11,INSA,1205,CDUCSU,0.3
2025-01-11,INSA,1205,AfD,0.22
2025-01-13,INSA,2005,CDUCSU,0.31
2025-01-13,INSA,2005,AfD,0.22
2025-01-14,Forsa,2504,CDUCSU,0.31
2025-01-14,Forsa,2504,AfD,0.2
2025-01-15,YouGov,1771,CDUCSU,0.3
2025-01-15,YouGov,1771,AfD,0.21
2025-01-18,INSA,1206,CDUCSU,0.29
2025-01-18,INSA,1206,AfD,0.21
2025-01-20,INSA,2008,CDUCSU,0.29
2025-01-20,INSA,2008,AfD,0.215
2025-01-21,Forsa,2502,CDUCSU,0.31
2025-01-21,Forsa,2502,AfD,0.19
2025-01-22,YouGov,1858,CDUCSU,0.28
2025-01-22,YouGov,1858,AfD,0.19
2025-01-23,Allensbach,1015,CDUCSU,0.34
2025-01-23,Allensbach,1015,AfD,0.2
2025-01-24,Forschungsgruppe Wahlen,1345,CDUCSU,0.3
2025-01-24,Forschungsgruppe Wahlen,1345,AfD,0.21
2025-01-25,INSA,1203,CDUCSU,0.3
2025-01-25,INSA,1203,AfD,0.21
2025-01-27,INSA,2006,CDUCSU,0.3
2025-01-27,INSA,2006,AfD,0.22
2025-01-28,Forsa,2504,CDUCSU,0.3
2025-01-28,Forsa,2504,AfD,0.2
2025-01-29,YouGov,1781,CDUCSU,0.29
2025-01-29,YouGov,1781,AfD,0.23
2025-01-30,Forschungsgruppe Wahlen,1428,CDUCSU,0.29
2025-01-30,Forschungsgruppe Wahlen,1428,AfD,0.21
2025-01-30,Infratest dimap,1336,CDUCSU,0.3
2025-01-30,Infratest dimap,1336,AfD,0.2
2025-01-30,INSA,1001,CDUCSU,0.29
2025-01-30,INSA,1001,AfD,0.22
2025-01-31,Verian,1461,CDUCSU,0.3
2025-01-31,Verian,1461,AfD,0.2
2025-02-01,INSA,1203,CDUCSU,0.3
2025-02-01,INSA,1203,AfD,0.22
2025-02-03,INSA,2004,CDUCSU,0.3
2025-02-03,INSA,2004,AfD,0.22
2025-02-04,Forsa,2503,CDUCSU,0.28
2025-02-04,Forsa,2503,AfD,0.2
2025-02-05,YouGov,2181,CDUCSU,0.29
2025-02-05,YouGov,2181,AfD,0.22
2025-02-06,Infratest dimap,1302,CDUCSU,0.31
2025-02-06,Infratest dimap,1302,AfD,0.21
2025-02-07,Forschungsgruppe Wahlen,1341,CDUCSU,0.3
2025-02-07,Forschungsgruppe Wahlen,1341,AfD,0.2
2025-02-07,GMS,1011,CDUCSU,0.3
2025-02-07,GMS,1011,AfD,0.21
2025-02-08,INSA,1204,CDUCSU,0.29
2025-02-08,INSA,1204,AfD,0.21
2025-02-10,INSA,2006,CDUCSU,0.3
2025-02-10,INSA,2006,AfD,0.22
2025-02-11,Forsa,2502,CDUCSU,0.29
2025-02-11,Forsa,2502,AfD,0.2
2025-02-12,YouGov,2083,CDUCSU,0.29
2025-02-12,YouGov,2083,AfD,0.21
2025-02-13,Allensbach,1021,CDUCSU,0.32
2025-02-13,Allensbach,1021,AfD,0.2
2025-02-13,Infratest dimap,1579,CDUCSU,0.32
2025-02-13,Infratest dimap,1579,AfD,0.21
2025-02-14,Forschungsgruppe Wahlen,1348,CDUCSU,0.3
2025-02-14,Forschungsgruppe Wahlen,1348,AfD,0.2
2025-02-15,INSA,1205,CDUCSU,0.3
2025-02-15,INSA,1205,AfD,0.21
2025-02-16,Forsa,2005,CDUCSU,0.3
2025-02-16,Forsa,2005,AfD,0.2
2025-02-17,INSA,2010,CDUCSU,0.3
2025-02-17,INSA,2010,AfD,0.22
2025-02-17,YouGov,2131,CDUCSU,0.27
2025-02-17,YouGov,2131,AfD,0.2
2025-02-18,Forsa,2501,CDUCSU,0.3
2025-02-18,Forsa,2501,AfD,0.2
2025-02-19,GMS,1016,CDUCSU,0.31
2025-02-19,GMS,1016,AfD,0.2
2025-02-20,Forschungsgruppe Wahlen,1349,CDUCSU,0.28
2025-02-20,Forschungsgruppe Wahlen,1349,AfD,0.21
2025-02-20,INSA,2503,CDUCSU,0.3
2025-02-20,INSA,2503,AfD,0.21
2025-02-21,Allensbach,1064,CDUCSU,0.32
2025-02-21,Allensbach,1064,AfD,0.2
