market,segment,quarter,value
"Auburn, AL",Almond lovers,Q1,845
"Auburn, AL",Almond lovers,Q2,998
"Auburn, AL",Almond lovers,Q3,1075
"Auburn, AL",Almond lovers,Q4,922
"Auburn, AL",Berry buyers,Q1,422
"Auburn, AL",Berry buyers,Q2,499
"Auburn, AL",Berry buyers,Q3,738
"Auburn, AL",Berry buyers,Q4,461
"Auburn, AL",Carrots-n-more,Q1,211
"Auburn, AL",Carrots-n-more,Q2,250
"Auburn, AL",Carrots-n-more,Q3,269
"Auburn, AL",Carrots-n-more,Q4,730
"Auburn, AL",Delicious-n-new,Q1,88
"Auburn, AL",Delicious-n-new,Q2,104
"Auburn, AL",Delicious-n-new,Q3,112
"Auburn, AL",Delicious-n-new,Q4,96
"Birmingham, AL",Almond lovers,Q1,352
"Birmingham, AL",Almond lovers,Q2,416
"Birmingham, AL",Almond lovers,Q3,448
"Birmingham, AL",Almond lovers,Q4,384
"Birmingham, AL",Berry buyers,Q1,317
"Birmingham, AL",Berry buyers,Q2,374
"Birmingham, AL",Berry buyers,Q3,403
"Birmingham, AL",Berry buyers,Q4,346
"Birmingham, AL",Carrots-n-more,Q1,211
"Birmingham, AL",Carrots-n-more,Q2,250
"Birmingham, AL",Carrots-n-more,Q3,269
"Birmingham, AL",Carrots-n-more,Q4,230
"Birmingham, AL",Delicious-n-new,Q1,88
"Birmingham, AL",Delicious-n-new,Q2,104
"Birmingham, AL",Delicious-n-new,Q3,112
"Birmingham, AL",Delicious-n-new,Q4,96
"Gainesville, FL",Almond lovers,Q1,141
"Gainesville, FL",Almond lovers,Q2,166
"Gainesville, FL",Almond lovers,Q3,179
"Gainesville, FL",Almond lovers,Q4,154
"Gainesville, FL",Berry buyers,Q1,211
"Gainesville, FL",Berry buyers,Q2,250
"Gainesville, FL",Berry buyers,Q3,269
"Gainesville, FL",Berry buyers,Q4,230
"Gainesville, FL",Carrots-n-more,Q1,141
"Gainesville, FL",Carrots-n-more,Q2,166
"Gainesville, FL",Carrots-n-more,Q3,179
"Gainesville, FL",Carrots-n-more,Q4,154
"Gainesville, FL",Delicious-n-new,Q1,88
"Gainesville, FL",Delicious-n-new,Q2,104
"Gainesville, FL",Delicious-n-new,Q3,112
"Gainesville, FL",Delicious-n-new,Q4,96
"Durham, NC",Almond lovers,Q1,70
"Durham, NC",Almond lovers,Q2,83
"Durham, NC",Almond lovers,Q3,90
"Durham, NC",Almond lovers,Q4,77
"Durham, NC",Berry buyers,Q1,106
"Durham, NC",Berry buyers,Q2,125
"Durham, NC",Berry buyers,Q3,134
"Durham, NC",Berry buyers,Q4,115
"Durham, NC",Carrots-n-more,Q1,141
"Durham, NC",Carrots-n-more,Q2,166
"Durham, NC",Carrots-n-more,Q3,179
"Durham, NC",Carrots-n-more,Q4,154
"Durham, NC",Delicious-n-new,Q1,88
"Durham, NC",Delicious-n-new,Q2,104
"Durham, NC",Delicious-n-new,Q3,112
"Durham, NC",Delicious-n-new,Q4,96
