long,lat,elevation,distance
6.770006,45.61928,901.2,0
6.76953,45.618747,903.4,0.06995695384853445
6.769705,45.61839,905.6,0.11196894979727694
6.769461,45.617683,906.6,0.19293234695788697
6.769217,45.617012,910,0.2700059272140173
6.768743,45.616381,913.4,0.34935423166311397
6.767944,45.616106,918.8,0.4186911491903388
6.767149,45.616061,924.6,0.4807952602862656
6.766606,45.615567,929.2,0.5501618384893567
6.766382,45.614855,931.2,0.6313177387038739
6.766152,45.614077,934.8,0.719756623337387
6.765825,45.613194,937,0.8212961330204305
6.765488,45.612268,939.2,0.9276657403160609
6.765009,45.611358,941.2,1.0356152691356428
6.763899,45.610545,942.4,1.1607634296578389
6.76233,45.60978,942.4,1.3096942372689842
6.760644,45.609231,939.2,1.4545149518832063
6.75921,45.608372,935.8,1.6015330085202117
6.758472,45.607171,933.6,1.7470572648790246
6.757443,45.606095,931.6,1.8911713676442548
6.756571,45.605,929.4,2.0307067527931535
6.755775,45.603766,927.2,2.1814154528069567
6.754387,45.602823,924,2.332097681734206
6.753383,45.601614,922,2.48774983206042
6.752623,45.600462,920.8,2.6289916478446433
6.75168,45.599287,920.8,2.7790022487499915
6.751314,45.597908,919.8,2.935136301262026
6.750558,45.596577,918.8,3.094574876372025
6.749867,45.595314,917.8,3.245121615518687
6.749071,45.594025,916.8,3.4014354761021153
6.748315,45.592746,915.8,3.5555110735374127
6.747567,45.591522,914.8,3.7037017819898606
6.746969,45.590317,914.8,3.8457002156462896
6.746695,45.588993,913.6,3.9946247857535844
6.746363,45.587726,911.6,4.138018342868451
6.745436,45.586659,911.6,4.277027254152677
6.744138,45.585698,911.6,4.424233860869149
6.742718,45.584754,910.6,4.576816367843851
6.741424,45.583877,911.6,4.717152762058206
6.739829,45.583134,912.8,4.866426957149206
6.738318,45.581985,910.2,5.040261860100512
6.736858,45.580485,902.2,5.242305280536432
6.735231,45.579029,894.4,5.4480722727918796
6.733183,45.577777,886.8,5.659939826199158
6.731169,45.576754,880.2,5.8538327792810065
6.729057,45.575634,872.8,6.060294204427184
6.727007,45.574544,866.2,6.260890923418933
6.725101,45.573523,861.8,6.447909817141645
6.723095,45.573109,859.8,6.610876045279373
6.721395,45.572242,858.6,6.774776943712495
6.719613,45.57136,857.6,6.94484445472405
6.717925,45.570612,857.6,7.100523976477791
6.716464,45.56954,855.2,7.265457544609446
6.714695,45.568534,849,7.4430684489948975
6.712863,45.56818,849,7.591175149083663
6.711139,45.567966,850.2,7.727622948979742
6.709406,45.567887,855,7.862962834890479
6.706961,45.568061,856.2,8.054485167767035
6.703841,45.568066,852.6,8.297628924639485
6.700704,45.567212,842.2,8.559932529471222
6.697626,45.566932,838.6,8.801823418311097
6.694998,45.566123,838.6,9.025555897383526
6.692186,45.565486,838.6,9.255892033562649
6.689165,45.564854,835.6,9.501618971520163
6.685577,45.56444,824,9.78502287549292
6.682636,45.564957,823,10.02134518917522
6.680126,45.564667,828,10.219607943502423
6.677289,45.563761,827.2,10.462628060369738
6.673902,45.562126,812.6,10.783266923833644
6.670355,45.560935,801.2,11.089866559685813
6.666349,45.559623,785.2,11.434569710605617
6.662949,45.557844,771,11.76539876485437
6.659614,45.556817,763.4,12.04937606520725
6.656278,45.557196,762.2,12.312803830312415
6.653463,45.557128,762.2,12.532351259477757
6.651527,45.55601,763.2,12.727955964012622
6.648477,45.555564,758.8,12.970824748492328
6.645153,45.555217,752.2,13.232787720541356
6.642594,45.554912,747,13.43512692563353
6.640261,45.554059,748.2,13.640280704542775
6.637986,45.553292,752.8,13.837101943451046
6.635606,45.552286,755,14.053806121888664
6.633328,45.551525,759.6,14.250554621116619
6.630574,45.551609,761.6,14.465441752289529
6.628245,45.551085,763.8,14.656136401267334
6.62626,45.550348,766,14.831280246112625
6.623343,45.549684,762.6,15.070388284749463
6.620804,45.550279,761.6,15.279105924504055
6.618403,45.549747000000004,759.4,15.475422777224066
6.616058,45.548143,755.8,15.730964569874413
6.615757,45.54576,751,15.997274778099635
6.614926,45.543474,746.4,16.25986877071199
6.612598,45.542434,742.8,16.47515149309529
6.609643,45.542526,739.2,16.70576846038155
6.607042,45.541432,738.2,16.94231769313128
6.604683,45.540538,736.2,17.151442435973923
6.60359,45.538476,727,17.396292689907874
6.602841,45.535897,709.2,17.689265669197482
6.600862,45.533396,690.4,18.00758254085889
6.598845,45.531479,683.4,18.272682608644306
6.596506,45.530163,679.8,18.50662929564669
6.594173,45.529319,679.8,18.711392411183876
6.591973,45.528927,683.6,18.888420834613605
6.590059,45.528809,689.8,19.038260714413916
6.588397,45.528792,697.2,19.167885502370336
6.586793,45.528738,703.6,19.29311778356271
6.585196,45.528509,708,19.420242312275256
6.584095,45.527808,709.2,19.5362673411836
6.582994,45.527107,710.2,19.652293161964955
6.581893,45.526406,706.8,19.76831977461438
6.580791,45.525705,702.4,19.884404906233453
6.57969,45.525004,699,20.000433102603708
6.578589,45.524303,694.4,20.116462090826886
6.569934,45.518642,690.2,21.039942266352412
