storenum,opendate,city,state,lat,lon
1,1962-07-01,Rogers,AR,36.342235,-94.07141
2,1964-08-01,Harrison,AR,36.236984,-93.09345
3,1988-04-12,Commerce,GA,34.210423,-83.46842
4,1965-08-01,Siloam Springs,AR,36.179905,-94.50208
5,1972-05-01,Conway,AR,35.075467,-92.43401
7,1967-10-01,North Little Rock,AR,34.813269,-92.30229
8,1967-10-01,Morrilton,AR,35.156491,-92.75858
9,1968-03-01,Sikeston,MO,36.891163,-89.58355
10,1968-07-01,Tahlequah,OK,35.923658,-94.97185
11,1968-03-01,Mountain Home,AR,36.329026,-92.35781
12,1968-07-01,Claremore,OK,36.327143,-95.61192
13,1968-11-01,Carthage,MO,37.168985,-94.31164
14,1969-04-01,Lebanon,MO,37.678528,-92.64733
15,1969-05-01,West Plains,MO,36.719145,-91.87408
16,1969-04-01,Van Buren,AR,35.456536,-94.34581
17,1969-05-01,Neosho,MO,36.86429,-94.39016
18,1969-11-01,Newport,AR,35.586065,-91.24695
19,1990-04-03,Poplar Bluff,MO,36.759357,-90.41689
20,1970-10-01,Clinton,MO,38.364214,-93.76042
21,1970-03-01,St. Robert,MO,37.827415,-92.135741
22,1970-10-01,Pryor,OK,36.294174,-95.30295
23,1970-11-01,Ruston,LA,32.52476,-92.646960000000007
24,1971-04-01,Jacksonville,AR,34.879419,-92.12244
25,1971-02-01,Mexico,MO,39.179316,-91.88404
26,1970-11-01,Leavenworth,KS,39.298776,-94.93555
27,1971-02-01,Salem,MO,37.630896,-91.51423
28,1971-05-01,Miami,OK,36.880746,-94.87142
29,1971-08-01,Jefferson City,MO,38.568287,-92.25329
30,1971-11-01,Dexter,MO,36.784453,-89.97428
31,1971-06-01,Poteau,OK,35.052793,-94.61829
32,1971-06-01,Branson,MO,36.64417,-93.25668
33,1971-06-01,Nashville,AR,33.985613,-93.85214
34,1971-11-01,Nevada,MO,37.838563,-94.35075
35,1971-10-01,Manhattan,KS,39.184986,-96.56932
36,1971-11-01,Paragould,AR,36.065711,-90.5102
37,1971-09-01,Farmington,MO,37.779206,-90.41404
38,1971-12-09,Idabel,OK,33.883578,-94.83154
39,1972-03-01,Fort Scott,KS,37.823295,-94.73389
40,1971-11-01,Moberly,MO,39.420353,-92.4344
41,1972-05-01,Bartlesville,OK,36.733398,-95.92404
42,1973-02-01,Coffeyville,KS,37.041838,-95.61814
43,1972-05-01,Junction City,KS,39.01585,-96.83653
44,1972-02-01,Eldon,MO,38.311355,-92.58395
45,1972-08-01,Jonesboro,AR,35.844795,-90.68443
46,1972-08-01,Bolivar,MO,37.616822,-93.40072
47,1972-07-01,Sallisaw,OK,35.467031,-94.78647
48,1972-11-01,Monett,MO,36.91816,-93.91488
49,1972-10-01,Hugo,OK,34.010943,-95.51651
50,1973-09-01,Vinita,OK,36.631673,-95.17303
51,1973-05-01,Fulton,MO,38.852436,-91.95808
52,1972-07-01,Hot Springs National Park,AR,34.47056,-93.08805
54,1972-06-01,Springdale,AR,36.182407,-94.1082
55,1972-10-01,Booneville,AR,35.105966,-93.97531
56,1973-08-01,Ava,MO,36.921199,-92.66205
57,1972-10-01,Walnut Ridge,AR,36.068015,-90.94429
58,1973-05-01,Russellville,AR,35.308848,-93.10909
59,1972-05-01,Joplin,MO,37.047161,-94.51124
60,1975-03-01,Troy,MO,38.991916,-90.98649
61,1972-11-01,Warrensburg,MO,38.772117,-93.73519
62,1972-11-01,Blytheville,AR,35.925991,-89.91767
63,1973-09-01,Wagoner,OK,35.961019,-95.3611
64,1973-02-01,Brownsville,TN,35.590558,-89.2609
65,1973-07-03,Sullivan,MO,38.200244,-91.14089
66,1973-08-01,Clarksville,AR,35.490105,-93.4851
67,1973-07-01,Mena,AR,34.588479,-94.21567
68,1973-08-01,Wynne,AR,35.229779,-90.83237
69,1973-12-01,Festus,MO,38.187767,-90.4077
70,1974-07-01,West Memphis,AR,35.150009,-90.17636
71,1973-11-01,Pocahontas,AR,36.304912,-91.0141
72,1974-01-01,Pittsburg,KS,37.408511,-94.70414
73,1974-10-01,Sapulpa,OK,35.996582,-96.1194
74,1973-11-01,Osceola,AR,35.696385,-90.02631
75,1984-11-13,Pineville,LA,31.352105,-92.4006
76,1973-11-01,Berryville,AR,36.350821,-93.56324
77,1979-10-30,Taylor,TX,30.574821,-97.40948
78,1973-09-01,Marshfield,MO,37.330958,-92.90929
79,1974-04-01,Joplin,MO,37.09416,-94.50169
80,1973-06-01,Columbia,MO,38.926838,-92.29003
81,1973-06-01,Stilwell,OK,35.815628,-94.65023
82,1974-04-01,Perryville,MO,37.716811,-89.87601
83,1974-08-01,Magnolia,AR,33.249608,-93.20427
84,1974-05-01,Brinkley,AR,34.867846,-91.19271
85,1974-04-01,Benton,AR,34.564734,-92.59562
86,1973-12-01,Springfield,MO,37.257053,-93.29015
87,1974-07-01,Minden,LA,32.631009,-93.28751
88,1974-02-01,Mountain Grove,MO,37.176376,-92.27609
89,1974-02-01,Camdenton,MO,38.032648,-92.78269
90,1974-04-01,Grove,OK,36.599689,-94.76673
91,1974-09-01,Forrest City,AR,35.010683,-90.78048
92,1974-04-01,Aurora,MO,36.918017999999996,-93.71063
93,1974-10-01,Covington,TN,35.560622,-89.64201
94,1974-07-01,Millington,TN,35.347965,-89.90668
95,1974-10-01,Park Hills,MO,37.844197,-90.53
96,1974-10-01,Harrisonville,MO,38.641509,-94.34126
97,1974-11-01,Ripley,AR,35.637993,-89.86859
98,1975-02-01,Bastrop,LA,32.814969,-91.90678
99,1976-02-01,Union,MO,38.434806,-91.00353
100,1974-10-01,Bentonville,AR,36.362525,-94.23308
101,1976-02-01,Rolla,MO,37.94384,-91.77105
102,1974-09-01,Stuttgart,AR,34.479852,-91.53854
103,1975-08-01,Shawnee,OK,35.375188,-96.93162
104,1974-07-01,Milan,TN,35.916722,-88.76628
105,1974-08-01,Corinth,MS,34.928325,-88.52856
106,1974-08-01,Fulton,KY,36.532059,-88.89132
107,1974-10-01,Martin,TN,36.353928,-88.84191
108,1975-02-01,Guthrie,OK,35.857303,-97.43176
109,1975-02-01,Cameron,MO,39.743859,-94.23378
111,1975-11-01,Chanute,KS,37.666078,-95.45681
112,1975-04-01,Starkville,MS,33.450215,-88.82383
113,1975-07-01,Chickasha,OK,35.040526,-97.94723
114,1975-04-01,Booneville,MS,34.653448,-88.53751
115,1976-09-01,West Point,MS,33.619058,-88.64686
116,1975-08-01,Vivian,LA,32.849008,-93.97599
117,1975-06-01,Broken Bow,OK,34.142978,-94.80269
118,1976-04-01,Amory,MS,33.988235,-88.46783
119,1976-03-01,Batesville,AR,35.78108,-91.63835
120,1976-03-01,Humboldt,TN,35.825299,-88.90218
121,1975-09-01,Okmulgee,OK,35.628612,-95.9734
122,1975-11-01,Jackson,MO,37.413716,-89.65428
123,1975-06-01,Seminole,OK,35.249655,-96.65915
124,1975-03-01,Little Rock,AR,34.674192,-92.35557
125,1975-04-01,Fort Smith,AR,35.373791,-94.41371
126,1976-03-01,Little Rock,AR,34.749723,-92.41345
127,1976-02-01,Malvern,AR,34.364093,-92.8146
128,1978-08-01,Jonesboro,AR,35.781707,-90.74506
129,1975-07-01,Ardmore,OK,34.184742,-97.12655
