station_id,name,lat,lon,altitude,date,precipitation,mean_temp,max_temp,min_temp
11,Donaueschingen (Landeplatz),47.9736,8.5205,680,2026-03-10,,,,
44,Großenkneten,52.9336,8.237,44,2026-03-10,1.4,9.6,18.6,1.8
73,Aldersbach-Kramersepp,48.6183,13.062,374,2026-03-10,0,8.5,16.4,2.6
78,Alfhausen,52.4853,7.9125,64,2026-03-10,0.3,10.4,17.5,3.7
90,Alsfeld,50.7557,9.2583,305,2026-03-10,,,,
91,Alsfeld-Eifa,50.7446,9.345,304,2026-03-10,0.1,8.8,17.9,1
96,Neuruppin-Alt Ruppin,52.9437,12.8518,50,2026-03-10,0.1,6.9,16.5,-0.9
102,Leuchtturm Alte Weser,53.8633,8.1275,0,2026-03-10,,5.6,12.3,1.1
125,Altenstadt,47.8342,10.8667,739,2026-03-10,0.7,7.6,,
131,Geringswalde-Altgeringswalde,51.0881,12.9326,296,2026-03-10,0,10.2,16,6.5
142,Altomünster-Maisbrunn,48.406,11.3117,511,2026-03-10,0.3,9.5,16.5,3.1
150,Alzey,49.7273,8.1164,215,2026-03-10,0,11.5,18.7,5.3
151,Amberg-Unterammersricht,49.4691,11.8546,382,2026-03-10,0.4,7.7,17.6,0.3
154,Amerang-Pfaffing,48.0197,12.2925,516,2026-03-10,0,7.7,16.9,0.1
161,Andernach,50.4237,7.4202,75,2026-03-10,0.1,10.2,18.8,2.6
164,Angermünde,53.0316,13.9908,54,2026-03-10,0,8.2,16.8,-0.1
167,Anklam,53.8409,13.6854,11,2026-03-10,0.4,7.3,15.3,-1.1
183,Arkona,54.6791,13.4344,42,2026-03-10,0.2,7.6,11.4,4.2
191,Arnstein-Müdesheim,49.9694,9.9114,217,2026-03-10,2.1,7.9,18.1,-0.9
197,"Arolsen-Volkhardinghausen, Bad",51.3219,9.0558,365,2026-03-10,,,,
198,Artern,51.3744,11.292,164,2026-03-10,0,10,18.4,1.6
217,Attenkam,47.8774,11.3643,670,2026-03-10,0,10,16,4.4
222,Aue,50.5908,12.7139,393,2026-03-10,0,8.8,16.4,2.5
232,Augsburg,48.4253,10.9417,462,2026-03-10,0.4,8.7,16.4,1.4
257,Baden-Baden-Geroldsau,48.727,8.2457,240,2026-03-10,4.5,10.2,16.2,3.6
259,Müllheim,47.8064,7.6387,275,2026-03-10,1.2,11.1,16.9,3.6
282,Bamberg,49.8743,10.9206,240,2026-03-10,0.1,6.8,17,-1.7
294,Barsinghausen-Hohenbostel,52.3199,9.43,110,2026-03-10,4.8,11.9,19.4,6.9
298,Barth,54.3405,12.7108,3,2026-03-10,2.2,6.2,14.5,-3.3
303,Baruth,52.0613,13.4997,55,2026-03-10,0,7.8,17.3,0.2
314,"Kubschütz, Kr. Bautzen",51.1604,14.5042,234,2026-03-10,0,11.4,15.9,8.2
320,Heinersreuth-Vollhof,49.9666,11.5198,350,2026-03-10,0,6.4,16.6,-1.4
330,Oberzent-Beerfelden,49.5617,8.9673,455,2026-03-10,1.4,11.1,16.8,5.5
